# BUSCO version is: 5.8.0 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2020-08-05, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
300at4891	Complete	h2tg000014l_path	185076	191429	+	1260.8	869	https://www.orthodb.org/v10?query=300at4891	Phosphatidylinositol-4-phosphate 5-kinase, core
331at4891	Fragmented	h2tg000006l_path	216645	213696	-	595.0	639	https://www.orthodb.org/v10?query=331at4891	BP28, C-terminal domain
364at4891	Complete	h2tg000013l_path	704443	709206	+	1870.1	1228	https://www.orthodb.org/v10?query=364at4891	Pentafunctional AROM polypeptide
365at4891	Complete	h2tg000013l_path	210482	205307	-	2529.2	1303	https://www.orthodb.org/v10?query=365at4891	DNA-directed RNA polymerase subunit
369at4891	Complete	h2tg000007l_path	505016	501414	-	1262.1	776	https://www.orthodb.org/v10?query=369at4891	Phospholipase
394at4891	Complete	h2tg000002l_path	279996	286158	+	1262.3	1090	https://www.orthodb.org/v10?query=394at4891	CCR4-NOT transcription complex subunit 1, HEAT repeat 1
414at4891	Complete	h2tg000016l_path	542076	537697	-	2254.6	1185	https://www.orthodb.org/v10?query=414at4891	DNA-directed RNA polymerase subunit
419at4891	Complete	h2tg000016l_path	614588	610935	-	2175.6	1049	https://www.orthodb.org/v10?query=419at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
425at4891	Fragmented	h2tg000011l_path	580959	578350	-	1528.3	759	https://www.orthodb.org/v10?query=425at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
431at4891	Fragmented	h2tg000001l_path	472406	469767	-	1191.9	710	https://www.orthodb.org/v10?query=431at4891	L-aminoadipate-semialdehyde dehydrogenase
443at4891	Complete	h2tg000006l_path	683683	688436	+	980.1	716	https://www.orthodb.org/v10?query=443at4891	Vacuolar membrane-associated protein IML1
455at4891	Missing
468at4891	Complete	h2tg000009l_path	582676	578582	-	1400.9	897	https://www.orthodb.org/v10?query=468at4891	P-type ATPase
469at4891	Complete	h2tg000011l_path	95068	90590	-	633.6	810	https://www.orthodb.org/v10?query=469at4891	Rho GTPase activation protein
471at4891	Complete	h2tg000003l_path	482498	476004	-	833.0	955	https://www.orthodb.org/v10?query=471at4891	Ras guanine nucleotide exchange factor domain superfamily
510at4891	Complete	h2tg000013l_path	1141043	1144705	+	1184.4	943	https://www.orthodb.org/v10?query=510at4891	Protein MSN5
514at4891	Complete	h2tg000015l_path	40101	45686	+	1482.8	1327	https://www.orthodb.org/v10?query=514at4891	Proteasome component ECM29
515at4891	Complete	h2tg000003l_path	505046	509395	+	1573.3	899	https://www.orthodb.org/v10?query=515at4891	Chromo domain
519at4891	Complete	h2tg000001l_path	227588	234083	+	1627.4	1481	https://www.orthodb.org/v10?query=519at4891	Armadillo-type fold
528at4891	Complete	h2tg000004l_path	615568	611494	-	1766.2	1031	https://www.orthodb.org/v10?query=528at4891	PurM-like, C-terminal domain
535at4891	Duplicated	h2tg000001l_path	75268	79735	+	840.2	824	https://www.orthodb.org/v10?query=535at4891	Nucleoporin-domain-containing protein
535at4891	Duplicated	h2tg000003l_path	371843	367926	-	726.9	809	https://www.orthodb.org/v10?query=535at4891	Nucleoporin-domain-containing protein
540at4891	Complete	h2tg000009l_path	66713	62738	-	998.1	1089	https://www.orthodb.org/v10?query=540at4891	Nucleoporin Nup188
569at4891	Complete	h2tg000011l_path	236642	232560	-	1067.1	769	https://www.orthodb.org/v10?query=569at4891	DNA polymerase
578at4891	Complete	h2tg000013l_path	1063308	1067378	+	893.2	947	https://www.orthodb.org/v10?query=578at4891	pre-mRNA 3'-end processing factor CF II
594at4891	Complete	h2tg000016l_path	731380	727943	-	1896.2	963	https://www.orthodb.org/v10?query=594at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
630at4891	Complete	h2tg000013l_path	801525	796153	-	1747.6	1233	https://www.orthodb.org/v10?query=630at4891	Sec7, C-terminal
631at4891	Complete	h2tg000012l_path	99547	95562	-	1681.6	931	https://www.orthodb.org/v10?query=631at4891	P-type ATPase
652at4891	Complete	h2tg000010l_path	310646	315736	+	861.1	891	https://www.orthodb.org/v10?query=652at4891	Anaphase-promoting complex (APC), subunit 1 (meiotic check point regulator/Tsg24)
662at4891	Complete	h2tg000006l_path	46388	40775	-	615.3	915	https://www.orthodb.org/v10?query=662at4891	Armadillo-type fold
665at4891	Complete	h2tg000013l_path	198007	194502	-	1486.5	945	https://www.orthodb.org/v10?query=665at4891	Coatomer subunit alpha
676at4891	Complete	h2tg000003l_path	91142	93975	+	1391.1	778	https://www.orthodb.org/v10?query=676at4891	P-type ATPase
692at4891	Fragmented	h2tg000009l_path	730705	726263	-	968.0	995	https://www.orthodb.org/v10?query=692at4891	nucleic acid-binding protein
693at4891	Duplicated	h2tg000010l_path	684380	680436	-	1022.1	844	https://www.orthodb.org/v10?query=693at4891	MAP kinase kinase kinase
693at4891	Duplicated	h2tg000002l_path	246216	242407	-	981.7	842	https://www.orthodb.org/v10?query=693at4891	MAP kinase kinase kinase
